NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
83652,1970,9999,Skadeforsikring,Skadeforsikring,A,83652,8364,8365,8365,8X65,8X64_66,8X64_66,2X64_66,K65,2X65
83653,1970,9999,Pensjonskasser,Pensjonskasser,A,83653,8364,8365,8365,8X65,8X64_66,8X64_66,2X64_66,K65,2X65
83660,1970,9999,Fin.forsikr.tj,"Tjenester tilknyttet finansierings- og forsikringsvirksomhet",A,83669,8364,8366,8366,8X66,8X64_66,8X64_66,2X64_66,K66,2X66
83680,1970,9999,"Oms.drift,eiend.","Omsetning og drift av fast eiendom",A,83680,8367,8367,8367,8X68A,8X68A,8X68,2X68,L68B,2X68
83688,1970,9999,"Boligtjenester,","Boligtjenester, egen bolig,  borettslag og sameie",A,83688,8369,8367,8367,8X68B,8X68B,8X68,2X68,L68B,2X68
83690,1970,9999,"Tj.jus,regnskap","Juridisk og regnskapsmessig tjenesteyting",A,83695,8370,8370,8369,8X69_70,8X69_75,8X69_71,2X69_75,M69_70,2X69
83700,1970,9999,Hvdkont.adm.råd,"Hovedkontortjenester, administrativ rådgivning",A,83695,8370,8370,8369,8X69_70,8X69_75,8X69_71,2X69_75,M69_70,2X70
83710,1970,9999,Arkitekt.tek.kon,"Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse",A,83695,8370,8371,8371,8X71,8X69_75,8X69_71,2X69_75,M71,2X71
83720,1970,9999,"FoU arb","Forskning og utviklingsarbeid",A,83720,8372,8372,8372,8X72,8X69_75,8X72,2X69_75,M72,2X72
83730,1970,9999,Reklame.mark.un,"Annonse- og reklamevirksomhet og markedsundersøkelser",A,83730,8373,8373,8373,8X73,8X69_75,8X73_75,2X69_75,M73,2X73
83740,1970,9999,Fag.vit.teknINAS,"Annen faglig, vitenskapelig og teknisk virksomhet",A,83740,8373,8374,8374,8X74_75,8X69_75,8X73_75,2X69_75,M74_75,2X74
83750,1970,9999,Veterinærtj.,Veterinærtjenester,A,83750,8373,8374,8374,8X74_75,8X69_75,8X73_75,2X69_75,M74_75,2X75
83770,1970,9999,"Utleie,leasing","Utleie- og leasingvirksomhet",A,83779,8377,8377,8377,8X77,8X77_82,8X77_82,2X77_82,N77,2X77
83780,1970,9999,Arbeidskrafttjen,Arbeidskrafttjenester,A,83779,8377,8378,8378,8X78,8X77_82,8X77_82,2X77_82,N78,2X78
83791,1970,9999,Reisebyråer,"Reisebyråvirksomhet, turistkontor samt tilknyttede tjenester",A,83790,8377,8379,8379,8X79,8X77_82,8X77_82,2X77_82,N79,2X79
83792,1970,9999,Reise/akt.arrang,"Reisearrangørvirksomhet og andre aktivitetsarrangører",A,83790,8377,8379,8379,8X79,8X77_82,8X77_82,2X77_82,N79,2X79
83800,1970,9999,Vakttj.etterfors,"Vakttjeneste og etterforsking",A,83779,8377,8380,8380,8X80_82,8X77_82,8X77_82,2X77_82,N80T82,2X80
83810,1970,9999,"Tj. Eiend.drift","Tjenester tilknyttet eiendomsdrift",A,83779,8377,8380,8380,8X80_82,8X77_82,8X77_82,2X77_82,N80T82,2X81
83820,1970,9999,"Forret.tj. INAS","Annen forretningsmessig tjenesteyting",A,83779,8377,8380,8380,8X80_82,8X77_82,8X77_82,2X77_82,N80T82,2X82
83850,1970,9999,Undervisning,Undervisning,A,83850,8385,8385,8385,8X85,8X85,8X85,2X85,P85,2X85
83860,1970,9999,Helsetjenester,Helsetjenester,A,83860,8386,8386,8386,8X86,8X86_88,8X86,2X86_88,Q86,2X86
