NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
27160,1970,9999,"Rep.av B&A","Reparasjon av bygg og anlegg",B,27160,,,,,,,,,
27500,1970,9999,Avanser,"Avanse, transportmarginer",B,27500,2750,2750,2750,,,,,OTTM,
28100,1970,9999,Boliger,"Boliger,leiligheter,fritidshus",B,2810,2815,2810,,2810,,,,,
28108,1970,9999,"Bolig egn invarb","Boliger egne investereingsarbeider",B,2810,2815,2810,,2810,,,,,
28180,1970,9999,"Br.bolig tr.kost","Brukte boliger, transaksjonskostnader",B,2810,2815,2810,,2810,,,,,
28190,1970,9999,Tr.kost.grunn,"Transaksjonskostnader, tomter og grunn",B,2810,2815,2810,,2810,,,,,
28200,1970,9999,Næringsbygg,Næringsbygg,B,2820,2815,2820,,2820,,,,,
28208,1970,9999,"Nær.byg.egn inv","Næringsbygg, egne investeringsarbeider",B,2820,2815,2820,,2820,,,,,
28290,1970,9999,Br.nær.byg.tr.ko,"Brukte næringsbygg, transaksjonskostnader",B,2820,2815,2820,,2820,,,,,
28300,1970,9999,Gr.frb.jord.skog,"Grunnforbedringer i jord- og skogbruk",B,2831,2815,2830,,2830,,,,,
28308,1970,9999,Gr.frb.lan.e.inv,"Grunnforbedringer i jord- og skogbruk, egne investeringsarbeider",B,2831,2815,2830,,2830,,,,,
28310,1970,9999,"Jernbane ol.","Jernbane, medregnet forstadsbane og bruer",B,2831,2815,2830,,2830,,,,,
28320,1970,9999,Kraftoverf.linje,Kraftoverføringslinje,B,2832,2815,2830,,2830,,,,,
28328,1970,9999,Kraft.overf.einv,"Kraftoverføringslinje, egne investeringsarbeider",B,2832,2815,2830,,2830,,,,,
28330,1970,9999,Kraft.prod.anleg,Kraftproduksjonsanlegg,B,2833,2815,2830,,2830,,,,,
28338,1970,9999,Kraftprod.e.inv.,"Kraftproduksjonsanlegg,egne investeringsarbeider",B,2833,2815,2830,,2830,,,,,
28340,1970,9999,"Veier og gater","Veier og gater",B,2831,2815,2830,,2830,,,,,
28348,1970,9999,"Veier egn.inv.","Veier og gater, egne investeringsarbeider",B,2831,2815,2830,,2830,,,,,
28350,1970,9999,"Andre anlegg","Andre anlegg",B,2831,2815,2830,,2830,,,,,
28358,1970,9999,"A.anlegg,egn inv","Andre anlegg, egne investeringsarbeider",B,2831,2815,2830,,2830,,,,,
28370,1970,9999,"Prod.hull olje","Produksjonshull for olje- og gassutvinning",B,2837,2837,2837,,2837,,,,,
28378,1970,9999,Pr.hul.olj+e.inv,"Produksjonshull for olje- og gassutvinning, egne investeringsarbeider",B,2837,2837,2837,,2837,,,,,
28380,1970,9999,"Oljeutv.plat mm","Oljeutvinningsplattformer, borerigger og moduler",B,2838,2838,2838,,2838,,,,,
28388,1970,9999,Olj.utv.pl.e.inv,"Oljeutvinningsplattformer, borerigger og moduler, egne investeringsarbeider",B,2838,2838,2838,,2838,,,,,
28389,1970,9999,Fj.kost.oljeinnr,"Fjerningskostnader for olje- og gassinnretninger",B,2838,2838,2838,,2838,,,,,
28390,1970,9999,Olje-gassrørled,"Olje- og gassrørledninger",B,2839,2839,2839,,2839,,,,,
28398,1970,9999,Olj.gasled.e.inv,"Olje- og gassrørledninger, egne investeringsarbeider",B,2839,2839,2839,,2839,,,,,
28410,1970,9999,"Skip og båter","Skip og båter",B,2841,2841,2841,,2841,,,,,
28420,1970,9999,"Fly,helikoptre","Fly og helikoptre",B,2842,2842,2842,,2842,,,,,
28430,1970,9999,Personbiler,"Personbiler, stasjonsvogner",B,2843,2843,2843,,2843,,,,,
28440,1970,9999,Busser,Busser,B,2843,2843,2843,,2843,,,,,
28450,1970,9999,"Lastebiler o.l.","Varebiler, lastebiler, kranbiler, trekkvogner mv.",B,2843,2843,2843,,2843,,,,,
28460,1970,9999,"Persbiler utleie","Personbiler til yrkesmessig utleie",B,2843,2843,2843,,2843,,,,,
28470,1970,9999,Lokomotiv.vogner,"Lokomotiver, passasjer- og godsvogner mv.",B,2843,2843,2843,,2843,,,,,
28508,1970,9999,Mask.utst.e.inv,"Maskiner og utstyr, egne investeringsarbeider",B,2850,2855,2855,,2855,,,,,
28510,1970,9999,Land.skog.mask.,"Landbruks- og skogbruksmaskiner",B,2850,2855,2855,,2855,,,,,
28520,1970,9999,Bergv.ind.mask,"Maskiner og utstyr til bergverk og industri",B,2850,2855,2855,,2855,,,,,
28530,1970,9999,Elektr.gas.mask,"Maskiner og utstyr til elektrisitets- og gassverk",B,2850,2855,2855,,2855,,,,,
28540,1970,9999,"B&A mask.utst","Maskiner og utstyr til bygge- og anleggsverksomhet",B,2850,2855,2855,,2855,,,,,
28550,1970,9999,A.nær.mask.utst.,"Maskiner og utstyr til andre næringer",B,2850,2855,2855,,2855,,,,,
28560,1970,9999,EDB/kont.utstyr,"EDB-utstyr, kontorutstyr og kontormaskiner ellers",B,2856,2855,2856,,2856,,,,,
28570,1970,9999,"Utstyr til tele","Utstyr til telekommunikasjon",B,2850,2855,2857,,2857,,,,,
28590,1970,9999,Våpensystemer,Våpensystemer,B,2859,2855,2859,,2859,,,,,
28610,1970,9999,"Endring i livdyr","Endring i livdyrbestand",B,2860,2860,2860,,2860,,,,,
28650,1970,9999,"Endring frukttre","Endring i frukttrebestand",B,2860,2860,2860,,2860,,,,,
28710,1970,9999,"Leting olje mm.","Leting etter olje, gass og mineraler",B,2871,2871,2871,,2871,,,,,
28718,1970,9999,Let.olj.mm.e.inv,"Leting etter olje, gass og mineraler, egne investeringsarbeider",B,2871,2871,2871,,2871,,,,,
28720,1970,9999,FoU,"Forskning og utvikling",B,2879,2879,2872,,2872,,,,,
28728,1970,9999,"FoU e. inv.","Forskning og utvikling, egne investeringsarbeider",B,2879,2879,2872,,2872,,,,,
28740,1970,9999,EDB-programvare,EDB-programvare,B,2879,2879,2874,,2874,,,,,
28748,1970,9999,EDB-prg.e.inv.,"EDB-programvare, egne investeringsarbeider",B,2879,2879,2874,,2874,,,,,
28760,1970,9999,Lit.kunst.org.v,"Litterære og kunstneriske orginalverk",B,2879,2879,2876,,2876,,,,,
28768,1970,9999,Lit.kun.org.e.i.,"Litterære og kunstneriske orginalverk, egne investeringsarbeider",B,2879,2879,2876,,2876,,,,,
28790,1970,9999,A.f.imat.realkap,"Annen fast immateriell realkapital",B,2879,2879,2879,,2879,,,,,
28990,1970,9999,Verdigjenstander,"Antikviteter, kunstgjenstander og andre verdigjenstander",B,2890,2890,2899,,2899,,,,,
29501,1970,9999,Merverdiavgift,"Innkreving av merverdiavgift",T,29501,2951,2951,2950,2950,,,,D21X31,
29502,1970,2003,Investeringsavgi,"Innkreving av investeringsavgift",T,29502,2952,2952,2950,2950,,,,D21X31,
29504,1970,9999,Produktsubsidier,"Utbetaling av produktsubsidier",T,29504,2954,2954,2950,2950,,,,D21X31,
29507,1970,9999,Korr.moms,"Korreksjon ikke innbetalt moms",T,29507,2957,2957,2950,2950,,,,D21X31,
29508,1970,9999,Produktskatter,"Innkreving av produktskatter",T,29508,2958,2958,2950,2950,,,,D21X31,
29900,1970,9999,"Korrek. fastpr.","Korreksjoner i faste priser",T,29900,2959,2959,2950,2950,,,,D21X31,
51100,2010,9999,"Eksport iflg HS","Eksport ifølge handelsstat.",A,51000,5100,5100,5100,,,,,P6,
51110,1970,2009,"Eksport iflg HS","Eksport ifølge handelsstat.",A,51000,5100,5100,5100,,,,,P6,
51140,1970,2009,"Varer utenom HS","Eksport av varer utenom handelsstatistikken",A,51000,5100,5100,5100,,,,,P6,
51200,2010,9999,"Eksp utenom HS","Eksport utenom handelsstat.",A,51000,5100,5100,5100,,,,,P6,
51210,1970,2009,Bruttofr.skipsf.,"Bruttofrakter opptjent i skipsfart",A,51000,5100,5100,5100,,,,,P6,
51220,1970,2009,"Utl.forbr.i Norg","Utlendingers forbruk i Norge",A,51000,5100,5100,5100,,,,,P6,
51230,1970,2009,"Tj. ellers","Tjenester ellers",A,51000,5100,5100,5100,,,,,P6,
52100,2010,9999,"Import iflg HS","Import ifølge handesstat.",T,52000,5200,5200,5200,,,,,P7,
52110,1970,2009,"Import iflg HS","Import ifølge handesstat.",T,52000,5200,5200,5200,,,,,P7,
52140,1970,2009,"Import utenom HS","Import av varer utenom handelsstatistikken",T,52000,5200,5200,5200,,,,,P7,
52200,2010,9999,"Import utenom HS","Import utenom handesstat.",T,52000,5200,5200,5200,,,,,P7,
52210,1970,2009,Skipsf.utg.utl.,"Skipsfartens utgifter i utlandet",T,52000,5200,5200,5200,,,,,P7,
52220,1970,2009,Nordm.forbr.utl.,"Nordmenns forbruk i utlandet",T,52000,5200,5200,5200,,,,,P7,
52230,1970,2009,"Tjenester ellers","Tjenester ellers",T,52000,5200,5200,5200,,,,,P7,
61A11,1970,9999,"Brød, kornprod.","Brød og kornprodukter",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A12,1970,9999,"Kjøtt og kjøttv.","Kjøtt og kjøttvarer",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A13,1970,9999,Fisk,"Fersk fisk, fiskefileter og andre fiskevarer",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A14,1970,9999,"Melk,ost,egg","Melk,ost og egg",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A15,1970,9999,"Smør,margarin,ol","Smør, margarin, oljer o.l.",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A16,1970,9999,"Frukt og bær","Frukt og bær",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A17,1970,9999,"Gr.sak.& potet","Grønnsaker og poteter",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A18,1970,9999,"Sukker,sjoko mv.","Sukker, sjokolade, iskrem og andre sukkervarer",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A19,1970,9999,Kryd./andr.matv.,"Krydder og andre matvarer",A,61A10,61A1,61A1,6100,61A1,61A,,,P3S14,
61A21,1970,9999,"Kaffe,te & kakao","Kaffe,te og kakao",A,61A21,61A2,61A1,6100,61A2,61A,,,P3S14,
61A22,1970,9999,"Miner.vann,brus","Mineralvann, brus o.l.",A,61A22,61A2,61A1,6100,61A2,61A,,,P3S14,
61B11,1970,9999,"Brennevin& sprit","Brennevin og sprit",A,61B11,61B1,61B1,6100,61B1,61B,,,P3S14,
61B12,1970,9999,Vin,Vin,A,61B12,61B1,61B1,6100,61B1,61B,,,P3S14,
61B13,1970,9999,Øl,Øl,A,61B13,61B1,61B1,6100,61B1,61B,,,P3S14,
61B20,1970,9999,Tobakksvarer,"Sigaretter, røyketobakk og andre tobakksvarer",A,61B20,61B2,61B2,6100,61B2_3,61B,,,P3S14,
61B30,1970,9999,Narkotika,Narkotika,A,61B30,61B2,61B2,6100,61B2_3,61B,,,P3S14,
61C11,1970,9999,"Tøy.,tekst.&garn","Tøyer, tekstilprodukter og garn",A,61C1,61C1,61C1,6100,61C1,61C,,,P3S14,
61C12,1970,9999,"Klær,nattøy mv.","Skjorter, nattøy, undertøy, kåper, kjoler, frakker, dresser mv.",A,61C1,61C1,61C1,6100,61C1,61C,,,P3S14,
61C13,1970,9999,"Hodpl.,skje.,sl.","Hodeplagg, skjerf, slips mv.",A,61C1,61C1,61C1,6100,61C1,61C,,,P3S14,
61C14,1970,9999,"Utleie&rep. klær","Utleie og reparasjon av klær",A,61C2,61C2,61C2,6100,61C1,61C,,,P3S14,
61C21,1970,9999,Skotøy,Skotøy,A,61C1,61C1,61C1,6100,61C2,61C,,,P3S14,
61C22,1970,9999,"Rep. av skot.","Reparasjoner av skotøy",A,61C2,61C2,61C2,6100,61C2,61C,,,P3S14,
61D10,1970,9999,Huslei.bet.bolig,"Husleie betalt av leietaker for bolig",A,61D10,61D1,61D1,6100,61D1,61D,,,P3S14,
61D20,1970,9999,Huslei.ber.bolig,"Beregnet husleie for selveiere for bolig",A,61D20,61D1,61D1,6100,61D2,61D,,,P3S14,
61D31,1970,9999,"Mat.rep.i eg.bol","Materialer for reparasjon i leid bolig",A,61D31,61D2,61D2,6100,61D3,61D,,,P3S14,
61D32,1970,9999,Arb.kost.rep.bol,"Arbeidskostnader for reparasjoner i leid bolig",A,61D41,61D3,61D3,6100,61D3,61D,,,P3S14,
61D40,1970,9999,A.v&tj.ifm.bolig,"Andre varer og tjenester tilknyttet bolig(VAR mv.)",A,61D41,61D3,61D3,6100,61D4,61D,,,P3S14,
61D51,1970,9999,Elektrisitet,Elektrisitet,A,61D51,61D4,61D4,6100,61D5,61D,,,P3S14,
61D52,1970,9999,Gass,Gass,A,61D52,61D5,61D5,6100,61D5,61D,,,P3S14,
61D53,1970,9999,Paraf.&fyr.olje,"Parafin og fyringsoljer",A,61D53,61D5,61D5,6100,61D5,61D,,,P3S14,
61D54,1970,9999,"Ved,torv,kull,ko","Ved, torv, kull, koks",A,61D54,61D5,61D5,6100,61D5,61D,,,P3S14,
61D55,1970,9999,"Fjernvarme mv.","Fjernvarme mv.",A,61D55,61D5,61D5,6100,61D5,61D,,,P3S14,
61E11,1970,9999,"Møbler mv.","Møbler, innrednings- og dekorartikler",A,61E11,61E1,61E1,6100,61E1,61E,,,P3S14,
61E12,1970,9999,"Tepper mv.","Tepper og annet gulvbelegg",A,61E12,61E1,61E1,6100,61E1,61E,,,P3S14,
61E13,1970,9999,"Rep. av møbler","Reparasjon av møbler",A,61E13,61E3,61E3,6100,61E1,61E,,,P3S14,
61E20,1970,9999,Tekstil-&utstyrv,"Tekstilvarer og utstyrsvarer",A,61E21,61E2,61E2,6100,61E2,61E,,,P3S14,
61E31,1970,9999,"Komf.,kjølsk.ol.","Komfyrer, kjøleskap, vaskemaskiner o.l.",A,61E31,61E1,61E1,6100,61E3,61E,,,P3S14,
61E32,1970,9999,Andr.hushold.mas,"Andre husholdningsmaskiner",A,61E32,61E2,61E2,6100,61E3,61E,,,P3S14,
61E33,1970,9999,Rep.el.hush.uts.,"Reparasjon av elektrisk husholdningsutstyr",A,61E33,61E3,61E3,6100,61E3,61E,,,P3S14,
61E40,1970,9999,"Kjk.uts.,glass","Kjøkkenutstyr, glass, dekketøy mv.",A,61E41,61E2,61E2,6100,61E4,61E,,,P3S14,
61E51,1970,9999,"Plenkl.,el.vkt.","Plenklippere, elektrisk verktøy mv.",A,61E51,61E1,61E1,6100,61E5,61E,,,P3S14,
61E52,1970,9999,"Småverktøy mv.","Småverktøy mv.",A,61E52,61E2,61E2,6100,61E5,61E,,,P3S14,
61E61,1970,9999,"Vaskepulver mv.","Rengjøringsmidler og andre husholdningsartikler",A,61E61,61E4,61E4,6100,61E6,61E,,,P3S14,
61E62,1970,9999,"Lønnet husarb.","Lønnet husarbeid",A,61E62,61E3,61E3,6100,61E6,61E,,,P3S14,
61F11,1970,9999,Legemidler,"Legemidler og helseartikler",A,61F11,61F1,61F1,6100,61F1,61F,,,P3S14,
61F12,1970,9999,Helseartikler,Helseartikler,A,61F12,61F1,61F1,6100,61F1,61F,,,P3S14,
61F13,1970,9999,"Briller,ort.uts.","Briller, ortopedisk utstyr mv.",A,61F13,61F2,61F2,6100,61F1,61F,,,P3S14,
61F21,1970,9999,Legehjelp,Legehjelp,A,61F21,61F3,61F3,6100,61F2,61F,,,P3S14,
61F22,1970,9999,Tannlegehjelp,Tannlegehjelp,A,61F22,61F3,61F3,6100,61F2,61F,,,P3S14,
61F23,1970,9999,"Andre helsetjen.","Andre helsetjenester utenom institusjon",A,61F23,61F3,61F3,6100,61F2,61F,,,P3S14,
61F30,1970,9999,Sykehustjenester,Sykehustjenester,A,61F30,61F3,61F3,6100,61F3,61F,,,P3S14,
61G11,1970,9999,"Kjøp av bil","Kjøp av bil",A,61G1,61G1,61G1,6100,61G1,61G,,,P3S14,
61G12,1970,9999,"Kjøp motorsykler","Kjøp av motorsykler og sykler",A,61G1,61G1,61G1,6100,61G1,61G,,,P3S14,
61G13,1970,9999,Sykler,"Kjøp av sykler",A,61G1,61G1,61G1,6100,61G1,61G,,,P3S14,
61G21,1970,9999,"Res.del.,dekk mv","Reservedeler, dekk, slanger mv.",A,61G2,61G2,61G2,6100,61G2,61G,,,P3S14,
61G22,1970,9999,"Bensin og olje","Bensin og olje",A,61G3,61G3,61G3,6100,61G2,61G,,,P3S14,
61G23,1970,9999,Verkst.rep.,Verkstedsreparasjoner,A,61G5,61G5,61G5,6100,61G2,61G,,,P3S14,
61G24,1970,9999,"Park.,bomp.,bilu","Parkering, bompenger, bilutleie mv.",A,61G5,61G5,61G5,6100,61G2,61G,,,P3S14,
61G31,1970,9999,Pas.jernbane,"Passasjertransport jernbane,T-bane, trikk",A,61G31,61G4,61G4,6100,61G3,61G,,,P3S14,
61G32,1970,9999,Pas.landevei,"Passasjertransport landevei",A,61G32,61G4,61G4,6100,61G3,61G,,,P3S14,
61G33,1970,9999,Pas.fly,"Passasjertransport fly",A,61G33,61G4,61G4,6100,61G3,61G,,,P3S14,
61G34,1970,9999,Pas.båt,"Passasjertransport, båt",A,61G34,61G4,61G4,6100,61G3,61G,,,P3S14,
22010,1970,9999,"Jordbruk,jakt ol","Jordbruk, jakt og viltstell",B,22010,2301,2301,2301,2X01,2X01_02,2X01_03,2X01_03,A01,2X01
22031,1970,9999,"Fiske og fangst","Fiske og fangst",B,22031,2303,2303,2303,2X03A,2X03,2X01_03,2X01_03,A03,2X03
22412,1970,9999,"Oppføring bygg","Oppføringer av bygninger",B,22412,2342,2342,2341,2X41_43,2X41_43,2X41_43,2X41_43,F,2X41
22688,1970,9999,"Boligtjenester,","Boligtjenester, egen bolig,  borettslag og sameie",B,22688,2368,2368,2368,2X68B,2X68B,2X68,2X68,L68A,2X68
22970,1970,9999,Løn.arb.priv.hus,"Lønnet arbeid i private husholdninger",B,23970,2397,2397,2397,2X97,2X90_97,2X97_98,2X97_98,T,2X97
23010,1970,9999,"Jordbruk,jakt ol","Jordbruk, jakt og viltstell",B,23011,2301,2301,2301,2X01,2X01_02,2X01_03,2X01_03,A01,2X01
23016,1970,9999,"Tj. jordbruk","Tjenester tilknyttet jordbruk",B,23011,2301,2301,2301,2X01,2X01_02,2X01_03,2X01_03,A01,2X01
23020,1970,9999,Skogbruk,Skogbruk,B,23021,2302,2302,2302,2X02,2X01_02,2X01_03,2X01_03,A02,2X02
23024,1970,9999,"Tj. skogbruk","Tjenester tilknyttet skogbruk",B,23021,2302,2302,2302,2X02,2X01_02,2X01_03,2X01_03,A02,2X02
23031,1970,9999,"Fiske og fangst","Fiske og fangst",B,23031,2303,2303,2303,2X03A,2X03,2X01_03,2X01_03,A03,2X03
23032,1970,9999,Aquakultur,Aquakultur,B,23032,2304,2304,2303,2X03B,2X03,2X01_03,2X01_03,A03,2X03
23050,1970,9999,"Bryting av kull","Bryting av steinkull og brunkull",B,23050,2305,2305,2306,2X05,2X05,2X05_09,2X05_09,B,2X05
23060,1970,9999,"Utv.råolje, gass","Utvinning av råolje og naturgass",B,23060,2306,2306,2306,2X06,2X06,2X05_09,2X05_09,B,2X06
23070,1970,9999,"Brytning av malm","Brytning av metallholdig malm",B,23075,2305,2305,2306,2X05,2X05,2X05_09,2X05_09,B,2X07
23080,1970,9999,Brytn.ikke-malm,"Brytning av ikke metallholdig malm",B,23075,2305,2305,2306,2X05,2X05,2X05_09,2X05_09,B,2X08
23091,1970,9999,Utvinningstj.,"Tjenester tilknyttet utvinning av råolje og naturgass",B,23091,2307,2307,2306,2X09,2X09,2X05_09,2X05_09,B,2X09
23099,1970,9999,BergverksTj.,"Tjenester tilknyttet annen bergverksdrift",B,23075,2305,2305,2306,2X05,2X05,2X05_09,2X05_09,B,2X09
23101,1970,9999,Bearb.kjøt(vare),"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",B,23101,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23102,1970,9999,"Bearb. Fisk mv.","Bearbeiding og konservering av fisk, skalldyr og bløtdyr",B,23102,2312,2312,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23103,1970,9999,"Barb.frukt,grsak","Bearbeiding og konservering av frukt og grønnsaker",B,23103,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23104,1970,9999,"Oljer og fettsto","Produksjon av vegetabilske og animalske oljer og fettstoffer",B,23104,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23105,1970,9999,Meierivar.iskrem,"Produksjon av meierivarer og iskrem",B,23105,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23106,1970,9999,"Kornvare,stivels","Produksjon av kornvarer, stivelse og stivelsesprodukter",B,23106,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23107,1970,9999,Bakeri/pastavare,"Produksjon av bakeri- og pastavarer",B,23119,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23108,1970,9999,A.næringsmiddel,"Produksjon av andre næringsmidler",B,23119,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23109,1970,9999,Forvarer,"Produksjon av forvarer",B,23119,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X10
23110,1970,9999,Drikkevarer,"Produksjon av drikkevarer",B,23110,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X11
23120,1970,9999,Tobakksvarer,"Produksjon av tobakksvarer",B,23120,2310,2310,2310,2X10_12,2X10_12,2X10_12,2X10_33,C10T12,2X12
23130,1970,9999,Tekstiler,"Produksjon av tekstiler",B,23130,2313,2313,2313,2X13_15,2X13_15,2X13_15,2X10_33,C13T15,2X13
23140,1970,9999,Klær,"Produksjon av klær",B,23140,2313,2313,2313,2X13_15,2X13_15,2X13_15,2X10_33,C13T15,2X14
23150,1970,9999,"Lær og lærvarer","Produksjon av lær og lærvarer, skotøy",B,23150,2313,2313,2313,2X13_15,2X13_15,2X13_15,2X10_33,C13T15,2X15
23160,1970,9999,"Trelast,trevarer","Produksjon av trelast og varer av tre unntatt møbler",B,23160,2315,2316,2316,2X16,2X16_17,2X16_18,2X10_33,C16,2X16
23170,1970,9999,"Papir, papirvare","Produksjon av papir og papirvarer",B,23170,2316,2317,2317,2X17,2X16_17,2X16_18,2X10_33,C17,2X17
23180,1970,9999,"Tj.trykking mv","Trykking og tjenester tilknyttet trykking og reproduksjon av innspilte opptak",B,23180,2317,2318,2318,2X18,2X18,2X16_18,2X10_33,C18,2X18
23190,1970,9999,Raff.petroprod,"Produksjon av kull- og raffinerte petroleumsprodukter",B,23190,2318,2319,2319,2X19,2X19_21,2X19,2X10_33,C19,2X19
23201,1970,9999,"Kjemiske råvarer","Produksjon av kjemiske råvarer",B,23201,2319,2320,2320,2X20,2X19_21,2X20,2X10_33,C20,2X20
23207,1970,9999,"Kjemiske prod","Produksjon av kjemiske produkter",B,23207,2320,2320,2320,2X20,2X19_21,2X20,2X10_33,C20,2X20
23208,1970,9999,"Basisplast med m","Produksjon av basisplast og syntetisk gummi",B,23208,2320,2320,2320,2X20,2X19_21,2X20,2X10_33,C20,2X20
23210,1970,9999,"Farmasøytiske pr","Produksjon av farmasøytiske råvarer og preparater",B,23210,2321,2321,2321,2X21,2X19_21,2X21,2X10_33,C21,2X21
23220,1970,9999,"Gummi/plast prod","Produksjon av gummi- og plastprodukter",B,23220,2322,2322,2322,2X22,2X22_23,2X22_23,2X10_33,C22,2X22
23231,1970,9999,Glassprodukter,"Produksjon av glass og glassprodukter",B,23239,2323,2323,2323,2X23,2X22_23,2X22_23,2X10_33,C23,2X23
23232,1970,9999,"Keramiske produk","Produksjon av ildfaste produkter, byggevarer av brent leire og andre keramiske produkter",B,23239,2323,2323,2323,2X23,2X22_23,2X22_23,2X10_33,C23,2X23
23235,1970,9999,"Sement,kalk,gips","Produksjon av sement, kalk og gips",B,23235,2323,2323,2323,2X23,2X22_23,2X22_23,2X10_33,C23,2X23
23236,1970,9999,Ik-metal.mineral,"Betong,sement,gips,hogging/bearbeiding av monument/bygningsstein,A.ikke-metallholdige mineralprodukter",B,23239,2323,2323,2323,2X23,2X22_23,2X22_23,2X10_33,C23,2X23
23241,1970,9999,"Jern,stål,ferrol","Produksjon av jern, stål og ferrolegeringer",B,23241,2324,2324,2324,2X24,2X24,2X24_25,2X10_33,C24,2X24
23243,1970,9999,Aluminium,"Produksjon av aluminium",B,23243,2324,2324,2324,2X24,2X24,2X24_25,2X10_33,C24,2X24
23244,1970,9999,A.ik-jernh.metal,"Produksjon av ikke-jernholdige metaller ellers",B,23246,2324,2324,2324,2X24,2X24,2X24_25,2X10_33,C24,2X24
23245,1970,9999,"Støping metaller","Støping av metaller",B,23246,2324,2324,2324,2X24,2X24,2X24_25,2X10_33,C24,2X24
23251,1970,9999,Metallkonstr.mv,"Produksjon av metallkonstruksjoner, tanker, cisterner, dampkjeler og lignende",B,23250,2325,2325,2325,2X25,2X25_28,2X24_25,2X10_33,C25,2X25
23259,1970,9999,"Metallvarer INAS","Produksjon av andre metallvarer",B,23250,2325,2325,2325,2X25,2X25_28,2X24_25,2X10_33,C25,2X25
23260,1970,9999,Elektronisk.prod,"Produksjon av datamaskiner, elektroniske og optiske produkter",B,23260,2326,2326,2326,2X26,2X25_28,2X26,2X10_33,C26,2X26
23270,1970,9999,"Elektrisk utstyr","Produksjon av elektrisk utstyr",B,23270,2327,2327,2327,2X27,2X25_28,2X27,2X10_33,C27,2X27
23280,1970,9999,"Mask.utst INAS","Produksjon av maskiner og utstyr til generell bruk, INAS",B,23280,2328,2328,2328,2X28,2X25_28,2X28,2X10_33,C28,2X28
23290,1970,9999,"Motorvogn,tilhen","Produksjon av motorvogner og tilhengere",B,23290,2329,2329,2329,2X29,2X29_30,2X29_30,2X10_33,C29,2X29
23301,1970,9999,"Skip og båter","Bygging av skip og båter",B,23301,2330,2330,2330,2X30,2X29_30,2X29_30,2X10_33,C30,2X30
23302,1970,9999,Oljepl.form.modu,"Bygging av oljeplattformer og moduler",B,23302,2331,2331,2330,2X30,2X29_30,2X29_30,2X10_33,C30,2X30
23309,1970,9999,"Trsp.midl. INAS","Produksjon av transportmidler ellers",B,23309,2329,2329,2329,2X30,2X29_30,2X29_30,2X10_33,C29,2X30
23310,1970,9999,Møbler,"Produksjon av møbler",B,23310,2332,2332,2331,2X31_32,2X31_32,2X31_33,2X10_33,C31_32,2X31
23320,1970,9999,"Industri INAS","Annen industriproduksjon",B,23320,2332,2332,2331,2X31_32,2X31_32,2X31_33,2X10_33,C31_32,2X32
23331,1970,9999,Rep.metalpr.mask,"Reparasjon av metallprodukter, maskiner og utstyr",B,23331,2333,2333,2333,2X33,2X33,2X31_33,2X10_33,C33,2X33
23332,1970,9999,Instal.ind.mask.,"Installasjon av industrimaskiner og utstyr",B,23332,2333,2333,2333,2X33,2X33,2X31_33,2X10_33,C33,2X33
23350,1970,9999,Elektrisitet,"Produksjon av elektrisitet",B,23350,2335,2335,2335,2X35,2X35,2X35,2X35,D35,2X35
23351,1970,9999,Oms.distr.elektr,"Overføring og distribusjon av og handel med elektrisitet",B,23351,2336,2336,2335,2X35,2X35,2X35,2X35,D35,2X35
23352,1970,9999,"Gass gj. ledning","Produksjon og distribusjon av gass gjennom ledningsnett",B,23355,2337,2337,2335,2X35,2X35,2X35,2X35,D35,2X35
23353,1970,9999,Damp/varmtvann,"Damp- og varmtvannsforsyning",B,23355,2337,2337,2335,2X35,2X35,2X35,2X35,D35,2X35
