PRODUKT,GYLDIG_FOM,GYLDIG_TOM,LAGER_MOTTAK,PRODUKT_KORT,PRODUKT_LANG,GRLPRODUKT,KNRPRODUKT,A64N_PRODUKT,A64_PRODUKT,IKKE_VHM,A38NP,A64NP,PUBAGG,I_U,V_T,A64EU_PRODUKT
009320,1970,9999,87400,Kraftoverf.linje,Kraftoverføringslinjer,0932,0915,0930,410,,,0830,,,V,CPA_F
009330,1970,9999,87400,Kraftanlegg,Kraftproduksjonsanlegg,0933,0915,0930,410,,,0830,,,V,CPA_F
009350,1970,9999,87400,"Andre anlegg","Andre anlegg",0931,0915,0930,410,,,0830,,,V,CPA_F
009370,1970,9999,87400,"Prod.hull olje","Produksjonshull for olje- og gassutvinning",0937,0937,0937,060,,,0837,,,V,CPA_B
009380,1970,9999,87400,"Oljeutv.plat mm","Oljeutvinningsplattformer, borerigger og moduler",0938,0938,0938,300,,,0838,skiplfly,I,V,CPA_C30
009389,1970,9999,87400,Oljepl.korr.utl.,"Oljeutvinningsplattformer, korreksjon for utenlandske eierandeler",0938,0938,0938,300,,,0838,skiplfly,U,V,CPA_C30
009390,1970,9999,87400,Olje-gassrørled,"Olje- og gassrørledninger",0939,0939,0939,300,,,0839,,,V,CPA_C30
009410,1970,9999,87400,"Skip og båter","Skip og båter",0941,0941,0941,300,,,0841,skiplfly,I,V,CPA_C30
009420,1970,9999,87400,"Fly,helikoptre","Fly og helikoptre",0942,0942,0942,300,,,0842,skiplfly,I,V,CPA_C30
009429,1970,9999,87400,"Fly,korr.utl.eie","Fly, korreksjon for utenlandske eiendeler",0942,0942,0942,300,,,0842,skiplfly,,V,CPA_C30
009430,1970,9999,87400,Personbiler,"Personbiler, stasjonsvogner",0943,0943,0943,290,,,0843,verksted,,V,CPA_C29
009440,1970,9999,87400,Busser,Busser,0943,0943,0943,290,,,0843,verksted,,V,CPA_C29
009450,1970,9999,87400,"Lastebiler o.l.","Varebiler, lastebiler, kranbiler, trekkvogner mv.",0943,0943,0943,290,,,0843,verksted,,V,CPA_C29
009460,1970,9999,87400,"Persbiler utleie","Personbiler til yrkesmessig utleie",0943,0943,0943,290,,,0843,verksted,,V,CPA_C29
009470,1970,9999,87400,Lokomotiv.vogner,"Lokomotiver, passasjer- og godsvogner mv.",0943,0943,0955,280,,,0843,verksted,,V,CPA_C28
009510,1970,9999,87400,Land.skog.mask.,"Landbruks- og skogbruksmaskiner",0950,0955,0955,280,,,0855,,,V,CPA_C28
009520,1970,9999,87400,Bergv.ind.mask,"Maskiner og utstyr til bergverk og industri",0950,0955,0955,280,,,0855,,,V,CPA_C28
009530,1970,9999,87400,Elektr.gas.mask,"Maskiner og utstyr til elektrisitets- og gassverk",0950,0955,0955,280,,,0855,,,V,CPA_C28
009540,1970,9999,87400,"B&A mask.utst","Maskiner og utstyr til bygge- og anleggsverksomhet",0950,0955,0955,280,,,0855,,,V,CPA_C28
009550,1970,9999,87400,Mask.uts.t.a.nær,"Maskiner og utstyr til andre næringer",0950,0955,0955,280,,,0855,,,V,CPA_C28
009560,1970,9999,87400,EDB/kont.utstyr,"EDB-utstyr, kontorutstyr og kontormaskiner ellers",0956,0955,0956,260,,,0856,,,V,CPA_C26
009570,1970,9999,87400,"Utstyr til tele","Utstyr til telekommunikasjon",0950,0955,0957,260,,,0857,,,V,CPA_C26
009590,1970,9999,87000,Våpensystemer,Våpensystemer,0959,0955,0959,300,,,0859,,,V,CPA_C30
009719,1970,9999,87400,Oljelet.korr.utl,"Olje- leting og boring, korreksjon for utenlandsk eierandeler",0971,0971,0971,060,,,0871,skiplfly,U,V,CPA_B
009720,1970,9999,87400,FoU,"Forskning og utvikling",0979,0979,0972,720,,,0972,0972,,I,CPA_M72
009740,1970,9999,87400,EDB-programvare,EDB-programvare,0979,0979,0974,620,,,0874,,,V,CPA_J62_63
009760,1970,9999,87400,lit.kunst.retigh,"Litterære og kunstneriske opphavsrettigheter",0979,0979,0976,590,,,0876,,,V,CPA_J59_60
009790,1970,9999,87400,A.f.imat.realkap,"Annen fast immateriell realkapital",0979,0979,0979,580,,,0879,,,V,CPA_J58
009990,1970,9999,87400,Verdigjenstander,"Antikviteter, kunstgjenstander og andre verdigjenstander",0990,0990,0999,310,,,0899,,,V,CPA_C31_32
011110,1970,9999,87000,Korn,Korn,011,011,011,010,,01_03,,prim,I,V,CPA_A01
011190,1970,9999,87000,"Oljehold frø m.v","Oljeholdige frø m.v.",011,011,011,010,,01_03,,prim,I,V,CPA_A01
011300,1970,9999,87000,"Frisk grønnsaker","Friske grønnsaker",011,011,011,010,,01_03,,prim,I,V,CPA_A01
011309,1970,9999,87000,"Frisk gr.sak EB.","Friske grønnsaker, Eget bruk",011,011,011,010,1,01_03,,prim,,V,CPA_A01
011350,1970,9999,87000,"Poteter mv.","Poteter, belgfrukter mv.",011,011,011,010,,01_03,,prim,I,V,CPA_A01
011359,1970,9999,87000,"Poteter EB.","Poteter, belgfrukter mv. Eget bruk",011,011,011,010,1,01_03,,prim,,V,CPA_A01
012010,1970,9999,87000,"Frukt,tropisk mv","Sitrus frukter,druer, bananer, meloner, oliven, nøtter mv.",013,013,011,010,,01_03,,prim,I,V,CPA_A01
012400,1970,9999,87000,"Bær,epler frukt","Bær,epler frukt",011,011,011,010,,01_03,,prim,I,V,CPA_A01
012409,1970,9999,87000,"Bær,frukt EB.","Bær,epler frukt. Eget bruk",011,011,011,010,1,01_03,,prim,,V,CPA_A01
012700,1970,9999,87000,"Vekster t drikke","Vekster til fremstilling av drikkevarer",013,013,013,010,,01_03,,prim,I,V,CPA_A01
012920,1970,9999,87000,Juletrær,Juletrær,022,020,020,020,,01_03,,prim,I,V,CPA_A02
013010,1970,9999,87000,"Blomster planter","Blomster og planter",011,011,011,010,,01_03,,prim,I,V,CPA_A01
013690,1970,9999,87000,Frø,Frø,011,011,011,010,,01_03,,prim,I,V,CPA_A01
014120,1970,9999,87000,"Rå melk, storfe","Rå melk, storfe",012,012,012,010,1,01_03,,prim,,V,CPA_A01
014129,1970,9999,87000,"Rå melk. EB","Rå melk, storfe. Eget bruk.",012,012,012,010,1,01_03,,prim,,V,CPA_A01
014210,1970,9999,87000,"Storfe til slakt","Storfe til slakt",012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014220,1970,9999,87000,"Sæd,prod. dyr","Sæd, produksjonsdyr",012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014510,1970,9999,87000,"Sauer til slakt","Sauer til slakt",012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014520,1970,9999,87000,"Rå melk,sauer +","Rå melk fra sauer og geiter",012,012,012,010,1,01_03,,prim,,V,CPA_A01
014530,1970,9999,87000,"Ull og dyrehår","Ull og dyrehår",012,012,012,010,,01_03,,prim,I,V,CPA_A01
014590,1970,9999,87000,"Rein,geiter hest","Reinsdyr, geiter, hester til slakt",012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014600,1970,9999,87000,"Svin til slakt","Svin til slakt",012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014710,1970,9999,87000,Fjærkre,Fjærkre,012,012,012,010,1,01_03,,prim,I,V,CPA_A01
014720,1970,9999,87000,Egg,Egg,012,012,012,010,,01_03,,prim,I,V,CPA_A01
014729,1970,9999,87000,"Egg. EB.","Egg, Eget bruk",012,012,012,010,1,01_03,,prim,,V,CPA_A01
014910,1970,9999,87000,"Levende dyr","Levende dyr",012,012,012,010,,01_03,,prim,I,V,CPA_A01
014920,1970,9999,87000,"Honning, mv.","Honning og andre animalske produkter og produksjonsdyr",012,012,012,010,,01_03,,prim,I,V,CPA_A01
014930,1970,9999,87000,"Rå pelsskinn","Rå pelsskinn",012,012,012,010,,01_03,,prim,I,V,CPA_A01
014980,1970,9999,87000,"Kjøtt,storvilt","Kjøtt fra storvilt jakt",012,012,012,010,1,01_03,,prim,,V,CPA_A01
014990,1970,9999,87000,"Kjøtt,småvilt","Kjøtt fra småvilt jakt",012,012,012,010,1,01_03,,prim,,V,CPA_A01
015000,1970,9999,87000,"Ubear planteprod","Ubearbeidde planteprodukter ellers",013,013,013,010,,01_03,,prim,I,V,CPA_A01
016010,1970,9999,87400,"Tj. jordbruk","Tjenester tilknyttet jordbruk",012,012,012,010,,01_03,,prim,,V,CPA_A01
016210,1970,9999,87400,"Inseminasjon,sæd","Inseminasjon, sæd av storfe",012,012,012,010,,01_03,,prim,,V,CPA_A01
016220,1970,9999,87400,"Kjøreinnt, inv.","Kjøreinntekter, investering",012,012,012,010,,01_03,,prim,,V,CPA_A01
016230,1970,9999,87400,"Oppstalling hest","Oppstalling hest",012,012,012,010,,01_03,,prim,,V,CPA_A01
016240,1970,9999,87300,"Andre kjøreinnt.","Andre kjøreinntekter",012,012,012,010,,01_03,,prim,,V,CPA_A01
017000,1970,9999,87400,"Tjenester jakt","Tjenester tilknyttet jakt",012,012,012,010,,01_03,,prim,,V,CPA_A01
019019,1970,9999,87400,Endr.livdyrbesta,"Endring i livdyrbestand",012,012,012,010,,01_03,,prim,,V,CPA_A01
019039,1970,9999,87930,Lagerendr.husdyr,"Lagerendring husdyrbestand",012,012,012,010,,01_03,,prim,,V,CPA_A01
019048,1970,9999,87930,Endr.frukttre,"Endring i frukttrebestand",011,011,011,010,,01_03,,prim,,V,CPA_A01
019118,1970,9999,87400,Inv.arb.grøft+,"Investeringsarbeider jordbruk, grøfting og nydyrking",011,011,011,010,,01_03,,prim,,V,CPA_A01
019128,1970,9999,87400,Inv.arb.maskin+,"Investeringsarbeider jordbruk, maskiner og redskap",011,011,011,010,,01_03,,prim,,V,CPA_A01
162310,1970,9999,87000,"Vinduer,dører mv","Vinduer, dører og dørkarmer",160,160,160,160,,16_18,,160,I,V,CPA_C16
162320,1970,9999,87000,"Prefab. trebygg","Prefabrikerte bygninger av tre",160,160,160,160,1,16_18,,160,I,V,CPA_C16
162390,1970,9999,87000,"Trapper,porter","Trapper, garasjeporter mv.",160,160,160,160,,16_18,,160,I,V,CPA_C16
162410,1970,9999,87000,Treemball.paller,"Lastepaller, treemballasje m.v.",160,160,160,160,,16_18,,160,I,V,CPA_C16
162910,1970,9999,87000,"Andre trevarer","Andre trevarer (likkister)",160,160,160,160,,16_18,,160,I,V,CPA_C16
162920,1970,9999,87000,"Varer kork, mv.","Varer av kork, kurvmakerarbeid",160,160,160,160,,16_18,,160,I,V,CPA_C16
171110,1970,9999,87000,Tremasse,Tremasse,170,170,170,170,,16_18,,170,I,V,CPA_C17
171210,1970,9999,87000,"Papir avis graf.","Avispapir og annet papir til grafiske formål",170,170,170,170,,16_18,,170,I,V,CPA_C17
171220,1970,9999,87000,"Papir toalet mv.","Papir til toalettpapir, kraftpapir og annet papir",170,170,170,170,,16_18,,170,I,V,CPA_C17
171230,1970,9999,87000,"Papir.papp,ubes","Papir og papp, ubestrøket ellers",170,170,170,170,,16_18,,170,I,V,CPA_C17
171260,1970,9999,87000,Pergamentpapir,"Pergamentpapir, smørpapir",170,170,170,170,,16_18,,170,I,V,CPA_C17
171270,1970,9999,87000,Bearb.papir.papp,"Bearbeidet papir og papp",170,170,170,170,,16_18,,170,I,V,CPA_C17
172100,1970,9999,87000,"Embal.papir ol.","Emballasje av papir og papp, sekker, poser esker o.l.",170,170,170,170,,16_18,,170,I,V,CPA_C17
172200,1970,9999,87000,"Papir Hush.art","Husholdnings og toalettartikler av papir",170,170,170,170,,16_18,,170,I,V,CPA_C17
172300,1970,9999,87000,"Papir Kontorart.","Kontorartikler av papir",170,170,170,170,,16_18,,170,I,V,CPA_C17
172400,1970,9999,87000,"Tapeter,papir&te","Tapeter, papir og tekstil",170,170,170,170,,16_18,,170,I,V,CPA_C17
172900,1970,9999,87000,"Varer papir mv.","Varer av papir og papp ellers (inkl sigarettappir)",170,170,170,170,,16_18,,170,I,V,CPA_C17
181110,1970,9999,87300,"Trykking avis(T)","Trykking av aviser, tjeneste",180,180,180,180,,16_18,,180,,V,CPA_C18
181200,1970,9999,87300,"Trykk prod el. T","Trykte produkter ellers tjeneste",180,180,180,180,,16_18,,180,,V,CPA_C18
181300,1970,9999,87000,"Ferdiggjøring fø","Ferdiggjøring før tryikking og publisering",180,180,180,180,1,16_18,,180,I,V,CPA_C18
181400,1970,9999,87300,Bokbinding.mv.Tj,"Bokbinding og ferdiggjøring av trykksaker, tjeneste",180,180,180,180,,16_18,,180,,V,CPA_C18
182000,1970,9999,87300,"Reproduksjon av","Reproduksjon av innspilte opptak",180,180,180,180,,16_18,,180,,V,CPA_C18
191000,1970,9999,87000,"Koks, tjære og b","Koks, tjære og briketter",1910,191,191,190,,19,,oljegs,I,V,CPA_C19
192210,1970,9999,87000,"Bensin, ink. fly","Bensin for stempeldrevne forbrenningsmotorer herunder flybensin",1921,192,192,190,,19,,raff,I,V,CPA_C19
192220,1970,9999,87000,Jetparafin/bensi,"Jetparafin, jetbensin",1922,192,192,190,,19,,raff,B,V,CPA_C19
192229,2007,9999,87400,Jetparaf.kj.utl.,"Jetparafin mv. kjøpt i utlandet",1922,192,192,190,,19,,raff,B,V,CPA_C19
192230,1970,9999,87000,"Råbensin, whites","Llette destillater , deriblant nafta, white spirit og andre lette petroleumsprod. ikke nevnt annet sted (INAS)",066,063,063,060,,19,,oljegs,I,V,CPA_B
192240,1970,9999,87000,Parafin.fyring,"Parafin inklusiv fyringsparafin",1924,193,193,190,,19,,raff,I,V,CPA_C19
192260,1970,9999,87000,"Gassoljer,diesel","Gassoljer, inkl. diesel og marinegassoljer",1926,194,194,190,,19,,raff,B,V,CPA_C19
192269,2013,9999,87400,"Gassolje kj. utl","Gassolje, diesel kjøpt i utlandet",1926,194,194,190,,19,,raff,B,V,CPA_C19
192270,1970,9999,87000,"ml.tung fyr.olje","Mellomtunge petroleumsoljer, inkl fyringsoljer",1927,191,191,190,,19,,oljegs,I,V,CPA_C19
192280,1970,9999,87000,"Tunge petr.oljer","Tunge peroleumsoljer, inkl. Marindiesel, bunkersoljer",1928,193,193,190,,19,,raff,B,V,CPA_C19
192289,2013,9999,87400,"Tunge olj.kj utl","Tunge petroleumsprodukter olje. kjøpt i utlandet",1928,193,193,190,,19,,raff,B,V,CPA_C19
192290,1970,9999,87000,Smøreoljer,"Smøreoljer utvunnet av jordolje, tungdestillater ikke nevnt annet sted",1929,191,191,190,,19,,oljegs,B,V,CPA_C19
192299,2013,9999,87400,"Smøreolje kj. ut","Smøreolje kjøpt i utlandet",1929,191,191,190,,19,,ojegs,B,V,CPA_C19
192310,1970,9999,87000,"LPG,Propan,flyt","Propan, butan,gass gjort flytende (LPG)",068,063,063,060,,19,,oljegs,I,V,CPA_B
192320,1970,9999,87000,J.oljegass.gassf,"Jordoljegasser i gassform",1931,191,191,190,,19,,oljegs,I,V,CPA_C19
